,MLII,V1
0 days 00:06:07.785978,-190,-99
0 days 00:06:07.788756,-190,-96
0 days 00:06:07.791534,-192,-96
0 days 00:06:07.794312,-192,-94
0 days 00:06:07.797090,-195,-93
0 days 00:06:07.799868,-200,-93
0 days 00:06:07.802646,-202,-96
0 days 00:06:07.805424,-200,-99
0 days 00:06:07.808202,-201,-105
0 days 00:06:07.810980,-200,-105
0 days 00:06:07.813758,-197,-102
0 days 00:06:07.816536,-195,-98
0 days 00:06:07.819314,-193,-90
0 days 00:06:07.822092,-191,-89
0 days 00:06:07.824870,-193,-88
0 days 00:06:07.827648,-198,-89
0 days 00:06:07.830426,-198,-94
0 days 00:06:07.833204,-198,-99
0 days 00:06:07.835982,-205,-99
0 days 00:06:07.838760,-206,-104
0 days 00:06:07.841538,-204,-102
0 days 00:06:07.844316,-205,-104
0 days 00:06:07.847094,-202,-97
0 days 00:06:07.849872,-206,-97
0 days 00:06:07.852650,-204,-97
0 days 00:06:07.855428,-205,-95
0 days 00:06:07.858206,-206,-92
0 days 00:06:07.860984,-201,-97
0 days 00:06:07.863762,-206,-97
0 days 00:06:07.866540,-204,-103
0 days 00:06:07.869318,-207,-103
0 days 00:06:07.872096,-204,-102
0 days 00:06:07.874874,-204,-99
0 days 00:06:07.877652,-201,-98
0 days 00:06:07.880430,-199,-97
0 days 00:06:07.883208,-198,-99
0 days 00:06:07.885986,-197,-102
0 days 00:06:07.888764,-201,-103
0 days 00:06:07.891542,-202,-104
0 days 00:06:07.894320,-203,-104
0 days 00:06:07.897098,-202,-101
0 days 00:06:07.899876,-200,-102
0 days 00:06:07.902654,-201,-100
0 days 00:06:07.905432,-200,-100
0 days 00:06:07.908210,-200,-102
0 days 00:06:07.910988,-202,-103
0 days 00:06:07.913766,-198,-99
0 days 00:06:07.916544,-196,-100
0 days 00:06:07.919322,-199,-99
0 days 00:06:07.922100,-196,-96
0 days 00:06:07.924878,-197,-93
0 days 00:06:07.927656,-198,-97
0 days 00:06:07.930434,-199,-96
0 days 00:06:07.933212,-200,-95
0 days 00:06:07.935990,-201,-98
0 days 00:06:07.938768,-201,-95
0 days 00:06:07.941546,-201,-97
0 days 00:06:07.944324,-201,-96
0 days 00:06:07.947102,-198,-98
0 days 00:06:07.949880,-198,-97
0 days 00:06:07.952658,-196,-99
0 days 00:06:07.955436,-196,-99
0 days 00:06:07.958214,-197,-101
0 days 00:06:07.960992,-195,-99
0 days 00:06:07.963770,-196,-99
0 days 00:06:07.966548,-196,-97
0 days 00:06:07.969326,-199,-95
0 days 00:06:07.972104,-201,-98
0 days 00:06:07.974882,-200,-98
0 days 00:06:07.977660,-200,-99
0 days 00:06:07.980438,-196,-100
0 days 00:06:07.983216,-192,-100
0 days 00:06:07.985994,-188,-98
0 days 00:06:07.988772,-185,-101
0 days 00:06:07.991550,-186,-96
0 days 00:06:07.994328,-185,-92
0 days 00:06:07.997106,-183,-93
0 days 00:06:07.999884,-185,-93
0 days 00:06:08.002662,-181,-97
0 days 00:06:08.005440,-181,-104
0 days 00:06:08.008218,-183,-107
0 days 00:06:08.010996,-178,-109
0 days 00:06:08.013774,-175,-109
0 days 00:06:08.016552,-170,-106
0 days 00:06:08.019330,-167,-103
0 days 00:06:08.022108,-160,-104
0 days 00:06:08.024886,-154,-99
0 days 00:06:08.027664,-150,-95
0 days 00:06:08.030442,-148,-90
0 days 00:06:08.033220,-146,-85
0 days 00:06:08.035998,-151,-80
0 days 00:06:08.038776,-155,-81
0 days 00:06:08.041554,-163,-81
0 days 00:06:08.044332,-168,-82
0 days 00:06:08.047110,-172,-85
0 days 00:06:08.049888,-174,-90
0 days 00:06:08.052666,-172,-84
0 days 00:06:08.055444,-168,-82
0 days 00:06:08.058222,-161,-83
0 days 00:06:08.061000,-155,-77
0 days 00:06:08.063778,-151,-71
0 days 00:06:08.066556,-148,-68
0 days 00:06:08.069334,-151,-62
0 days 00:06:08.072112,-160,-67
0 days 00:06:08.074890,-166,-69
0 days 00:06:08.077668,-172,-74
0 days 00:06:08.080446,-180,-76
0 days 00:06:08.083224,-185,-81
0 days 00:06:08.086002,-186,-80
0 days 00:06:08.088780,-192,-82
0 days 00:06:08.091558,-194,-88
0 days 00:06:08.094336,-197,-86
0 days 00:06:08.097114,-199,-93
0 days 00:06:08.099892,-206,-97
0 days 00:06:08.102670,-213,-99
0 days 00:06:08.105448,-210,-101
0 days 00:06:08.108226,-211,-99
0 days 00:06:08.111004,-210,-95
0 days 00:06:08.113782,-211,-92
0 days 00:06:08.116560,-210,-89
0 days 00:06:08.119338,-207,-86
0 days 00:06:08.122116,-209,-86
0 days 00:06:08.124894,-210,-89
0 days 00:06:08.127672,-211,-90
0 days 00:06:08.130450,-215,-97
0 days 00:06:08.133228,-215,-99
0 days 00:06:08.136006,-217,-102
0 days 00:06:08.138784,-216,-101
0 days 00:06:08.141562,-216,-101
0 days 00:06:08.144340,-215,-99
0 days 00:06:08.147118,-215,-94
0 days 00:06:08.149896,-213,-95
0 days 00:06:08.152674,-215,-92
0 days 00:06:08.155452,-213,-94
0 days 00:06:08.158230,-213,-98
0 days 00:06:08.161008,-211,-98
0 days 00:06:08.163786,-214,-99
0 days 00:06:08.166564,-215,-101
0 days 00:06:08.169342,-214,-105
0 days 00:06:08.172120,-216,-106
0 days 00:06:08.174898,-219,-104
0 days 00:06:08.177676,-216,-103
0 days 00:06:08.180454,-217,-99
0 days 00:06:08.183232,-217,-101
0 days 00:06:08.186010,-213,-102
0 days 00:06:08.188788,-216,-109
0 days 00:06:08.191566,-218,-116
0 days 00:06:08.194344,-220,-133
0 days 00:06:08.197122,-221,-152
0 days 00:06:08.199900,-217,-181
0 days 00:06:08.202678,-204,-211
0 days 00:06:08.205456,-179,-246
0 days 00:06:08.208234,-149,-275
0 days 00:06:08.211012,-118,-307
0 days 00:06:08.213790,-90,-318
0 days 00:06:08.216568,-70,-319
0 days 00:06:08.219346,-63,-303
0 days 00:06:08.222124,-66,-278
0 days 00:06:08.224902,-70,-247
0 days 00:06:08.227680,-65,-218
0 days 00:06:08.230458,-42,-186
0 days 00:06:08.233236,-4,-153
0 days 00:06:08.236014,39,-100
0 days 00:06:08.238792,72,-34
0 days 00:06:08.241570,82,36
0 days 00:06:08.244348,52,90
0 days 00:06:08.247126,-15,114
0 days 00:06:08.249904,-118,104
0 days 00:06:08.252682,-222,59
0 days 00:06:08.255460,-313,3
0 days 00:06:08.258238,-375,-48
0 days 00:06:08.261016,-410,-86
0 days 00:06:08.263794,-431,-104
0 days 00:06:08.266572,-439,-113
0 days 00:06:08.269350,-446,-117
0 days 00:06:08.272128,-452,-123
0 days 00:06:08.274906,-463,-128
0 days 00:06:08.277684,-469,-135
0 days 00:06:08.280462,-472,-144
0 days 00:06:08.283240,-468,-146
0 days 00:06:08.286018,-466,-140
0 days 00:06:08.288796,-463,-139
0 days 00:06:08.291574,-460,-138
0 days 00:06:08.294352,-458,-137
0 days 00:06:08.297130,-450,-139
0 days 00:06:08.299908,-442,-143
0 days 00:06:08.302686,-431,-148
0 days 00:06:08.305464,-414,-143
0 days 00:06:08.308242,-387,-132
0 days 00:06:08.311020,-354,-125
0 days 00:06:08.313798,-320,-111
0 days 00:06:08.316576,-289,-99
0 days 00:06:08.319354,-264,-88
0 days 00:06:08.322132,-248,-81
0 days 00:06:08.324910,-238,-79
0 days 00:06:08.327688,-234,-77
0 days 00:06:08.330466,-232,-79
0 days 00:06:08.333244,-233,-83
0 days 00:06:08.336022,-232,-84
0 days 00:06:08.338800,-231,-86
0 days 00:06:08.341578,-232,-85
0 days 00:06:08.344356,-228,-79
0 days 00:06:08.347134,-226,-77
0 days 00:06:08.349912,-222,-70
0 days 00:06:08.352690,-220,-66
0 days 00:06:08.355468,-218,-66
0 days 00:06:08.358246,-214,-70
0 days 00:06:08.361024,-216,-75
0 days 00:06:08.363802,-218,-82
0 days 00:06:08.366580,-218,-83
0 days 00:06:08.369358,-221,-88
0 days 00:06:08.372136,-221,-93
0 days 00:06:08.374914,-221,-93
0 days 00:06:08.377692,-220,-89
0 days 00:06:08.380470,-222,-87
0 days 00:06:08.383248,-220,-81
0 days 00:06:08.386026,-223,-87
0 days 00:06:08.388804,-222,-95
0 days 00:06:08.391582,-223,-100
0 days 00:06:08.394360,-224,-103
0 days 00:06:08.397138,-230,-105
0 days 00:06:08.399916,-232,-107
0 days 00:06:08.402694,-234,-106
0 days 00:06:08.405472,-238,-112
0 days 00:06:08.408250,-240,-106
0 days 00:06:08.411028,-241,-111
0 days 00:06:08.413806,-239,-113
0 days 00:06:08.416584,-241,-113
0 days 00:06:08.419362,-242,-118
0 days 00:06:08.422140,-242,-121
0 days 00:06:08.424918,-244,-127
0 days 00:06:08.427696,-246,-135
0 days 00:06:08.430474,-251,-137
0 days 00:06:08.433252,-255,-137
0 days 00:06:08.436030,-257,-138
0 days 00:06:08.438808,-260,-136
0 days 00:06:08.441586,-260,-131
0 days 00:06:08.444364,-262,-134
0 days 00:06:08.447142,-262,-133
0 days 00:06:08.449920,-261,-137
0 days 00:06:08.452698,-260,-139
0 days 00:06:08.455476,-259,-144
0 days 00:06:08.458254,-263,-148
0 days 00:06:08.461032,-265,-152
0 days 00:06:08.463810,-264,-156
0 days 00:06:08.466588,-271,-162
0 days 00:06:08.469366,-270,-164
0 days 00:06:08.472144,-273,-162
0 days 00:06:08.474922,-272,-159
0 days 00:06:08.477700,-272,-156
0 days 00:06:08.480478,-270,-153
0 days 00:06:08.483256,-264,-151
0 days 00:06:08.486034,-262,-152
0 days 00:06:08.488812,-261,-151
0 days 00:06:08.491590,-260,-147
0 days 00:06:08.494368,-258,-151
0 days 00:06:08.497146,-253,-154
0 days 00:06:08.499924,-255,-156
0 days 00:06:08.502702,-252,-153
0 days 00:06:08.505480,-246,-148
0 days 00:06:08.508258,-244,-141
0 days 00:06:08.511036,-237,-133
0 days 00:06:08.513814,-236,-131
0 days 00:06:08.516592,-231,-127
0 days 00:06:08.519370,-225,-123
0 days 00:06:08.522148,-218,-122
0 days 00:06:08.524926,-217,-122
0 days 00:06:08.527704,-212,-122
0 days 00:06:08.530482,-210,-121
0 days 00:06:08.533260,-209,-125
0 days 00:06:08.536038,-209,-119
0 days 00:06:08.538816,-210,-115
0 days 00:06:08.541594,-207,-112
0 days 00:06:08.544372,-204,-105
0 days 00:06:08.547150,-204,-102
0 days 00:06:08.549928,-198,-96
0 days 00:06:08.552706,-192,-95
0 days 00:06:08.555484,-192,-96
0 days 00:06:08.558262,-190,-98
0 days 00:06:08.561040,-189,-100
0 days 00:06:08.563818,-190,-101
0 days 00:06:08.566596,-192,-100
0 days 00:06:08.569374,-190,-98
0 days 00:06:08.572152,-194,-90
0 days 00:06:08.574930,-194,-82
0 days 00:06:08.577708,-193,-76
0 days 00:06:08.580486,-191,-71
0 days 00:06:08.583264,-185,-70
0 days 00:06:08.586042,-185,-70
0 days 00:06:08.588820,-185,-75
0 days 00:06:08.591598,-184,-79
0 days 00:06:08.594376,-186,-81
0 days 00:06:08.597154,-189,-77
0 days 00:06:08.599932,-192,-73
0 days 00:06:08.602710,-193,-74
0 days 00:06:08.605488,-196,-76
0 days 00:06:08.608266,-195,-75
0 days 00:06:08.611044,-194,-75
0 days 00:06:08.613822,-192,-79
0 days 00:06:08.616600,-188,-79
0 days 00:06:08.619378,-188,-80
0 days 00:06:08.622156,-188,-79
0 days 00:06:08.624934,-189,-80
0 days 00:06:08.627712,-191,-75
0 days 00:06:08.630490,-196,-77
0 days 00:06:08.633268,-193,-75
0 days 00:06:08.636046,-194,-74
0 days 00:06:08.638824,-198,-78
0 days 00:06:08.641602,-198,-81
0 days 00:06:08.644380,-195,-80
0 days 00:06:08.647158,-195,-76
0 days 00:06:08.649936,-192,-73
0 days 00:06:08.652714,-192,-72
0 days 00:06:08.655492,-196,-72
0 days 00:06:08.658270,-195,-73
0 days 00:06:08.661048,-196,-79
0 days 00:06:08.663826,-198,-88
0 days 00:06:08.666604,-199,-95
0 days 00:06:08.669382,-198,-90
0 days 00:06:08.672160,-200,-86
0 days 00:06:08.674938,-200,-80
0 days 00:06:08.677716,-198,-81
0 days 00:06:08.680494,-199,-75
0 days 00:06:08.683272,-196,-75
0 days 00:06:08.686050,-196,-70
0 days 00:06:08.688828,-196,-73
0 days 00:06:08.691606,-195,-78
0 days 00:06:08.694384,-198,-79
0 days 00:06:08.697162,-198,-79
0 days 00:06:08.699940,-199,-79
0 days 00:06:08.702718,-196,-76
0 days 00:06:08.705496,-201,-77
0 days 00:06:08.708274,-202,-79
0 days 00:06:08.711052,-202,-80
0 days 00:06:08.713830,-199,-81
0 days 00:06:08.716608,-196,-81
0 days 00:06:08.719386,-197,-76
0 days 00:06:08.722164,-193,-76
0 days 00:06:08.724942,-191,-76
0 days 00:06:08.727720,-194,-79
0 days 00:06:08.730498,-193,-76
0 days 00:06:08.733276,-197,-79
0 days 00:06:08.736054,-199,-81
0 days 00:06:08.738832,-196,-79
0 days 00:06:08.741610,-199,-80
0 days 00:06:08.744388,-195,-83
0 days 00:06:08.747166,-195,-78
0 days 00:06:08.749944,-194,-80
0 days 00:06:08.752722,-190,-77
0 days 00:06:08.755500,-187,-77
0 days 00:06:08.758278,-188,-75
0 days 00:06:08.761056,-188,-75
0 days 00:06:08.763834,-190,-74
0 days 00:06:08.766612,-195,-73
0 days 00:06:08.769390,-197,-73
0 days 00:06:08.772168,-197,-78
0 days 00:06:08.774946,-198,-81
0 days 00:06:08.777724,-195,-80
0 days 00:06:08.780502,-192,-83
0 days 00:06:08.783280,-191,-82
0 days 00:06:08.786058,-189,-77
0 days 00:06:08.788836,-187,-74
0 days 00:06:08.791614,-188,-71
0 days 00:06:08.794392,-186,-69
0 days 00:06:08.797170,-189,-74
0 days 00:06:08.799948,-192,-79
0 days 00:06:08.802726,-194,-81
0 days 00:06:08.805504,-195,-83
0 days 00:06:08.808282,-198,-85
0 days 00:06:08.811060,-196,-83
0 days 00:06:08.813838,-194,-80
0 days 00:06:08.816616,-192,-76
0 days 00:06:08.819394,-191,-72
0 days 00:06:08.822172,-192,-73
0 days 00:06:08.824950,-185,-76
0 days 00:06:08.827728,-184,-76
0 days 00:06:08.830506,-182,-81
0 days 00:06:08.833284,-182,-82
0 days 00:06:08.836062,-180,-84
0 days 00:06:08.838840,-176,-86
0 days 00:06:08.841618,-174,-84
0 days 00:06:08.844396,-174,-88
0 days 00:06:08.847174,-170,-86
0 days 00:06:08.849952,-167,-86
0 days 00:06:08.852730,-162,-81
0 days 00:06:08.855508,-162,-81
0 days 00:06:08.858286,-156,-81
0 days 00:06:08.861064,-154,-79
0 days 00:06:08.863842,-150,-78
0 days 00:06:08.866620,-145,-80
0 days 00:06:08.869398,-142,-79
0 days 00:06:08.872176,-146,-76
0 days 00:06:08.874954,-146,-70
0 days 00:06:08.877732,-150,-69
0 days 00:06:08.880510,-152,-61
0 days 00:06:08.883288,-153,-60
0 days 00:06:08.886066,-156,-61
0 days 00:06:08.888844,-160,-62
0 days 00:06:08.891622,-158,-65
0 days 00:06:08.894400,-158,-64
0 days 00:06:08.897178,-160,-63
0 days 00:06:08.899956,-157,-60
0 days 00:06:08.902734,-153,-57
0 days 00:06:08.905512,-151,-51
0 days 00:06:08.908290,-146,-45
0 days 00:06:08.911068,-145,-39
0 days 00:06:08.913846,-148,-37
0 days 00:06:08.916624,-149,-36
0 days 00:06:08.919402,-157,-42
0 days 00:06:08.922180,-161,-49
0 days 00:06:08.924958,-167,-59
0 days 00:06:08.927736,-173,-65
0 days 00:06:08.930514,-179,-69
0 days 00:06:08.933292,-185,-73
0 days 00:06:08.936070,-192,-73
0 days 00:06:08.938848,-192,-72
0 days 00:06:08.941626,-193,-69
0 days 00:06:08.944404,-198,-67
0 days 00:06:08.947182,-196,-68
0 days 00:06:08.949960,-196,-68
0 days 00:06:08.952738,-195,-67
0 days 00:06:08.955516,-197,-75
0 days 00:06:08.958294,-200,-77
0 days 00:06:08.961072,-200,-83
0 days 00:06:08.963850,-200,-76
0 days 00:06:08.966628,-204,-74
0 days 00:06:08.969406,-201,-69
0 days 00:06:08.972184,-203,-64
0 days 00:06:08.974962,-204,-65
0 days 00:06:08.977740,-204,-67
0 days 00:06:08.980518,-203,-68
0 days 00:06:08.983296,-201,-71
0 days 00:06:08.986074,-202,-72
0 days 00:06:08.988852,-202,-74
0 days 00:06:08.991630,-205,-78
0 days 00:06:08.994408,-204,-77
0 days 00:06:08.997186,-205,-82
0 days 00:06:08.999964,-206,-85
0 days 00:06:09.002742,-207,-90
0 days 00:06:09.005520,-209,-90
0 days 00:06:09.008298,-208,-91
0 days 00:06:09.011076,-207,-82
0 days 00:06:09.013854,-207,-79
0 days 00:06:09.016632,-204,-75
0 days 00:06:09.019410,-202,-69
0 days 00:06:09.022188,-201,-70
0 days 00:06:09.024966,-202,-72
0 days 00:06:09.027744,-201,-76
0 days 00:06:09.030522,-203,-80
0 days 00:06:09.033300,-205,-86
0 days 00:06:09.036078,-206,-92
0 days 00:06:09.038856,-207,-100
0 days 00:06:09.041634,-208,-108
0 days 00:06:09.044412,-210,-118
0 days 00:06:09.047190,-200,-132
0 days 00:06:09.049968,-191,-150
0 days 00:06:09.052746,-172,-174
0 days 00:06:09.055524,-140,-200
0 days 00:06:09.058302,-110,-230
0 days 00:06:09.061080,-79,-253
0 days 00:06:09.063858,-52,-268
0 days 00:06:09.066636,-40,-272
0 days 00:06:09.069414,-35,-257
0 days 00:06:09.072192,-42,-231
0 days 00:06:09.074970,-45,-197
0 days 00:06:09.077748,-43,-171
0 days 00:06:09.080526,-27,-143
0 days 00:06:09.083304,-1,-115
0 days 00:06:09.086082,36,-75
0 days 00:06:09.088860,69,-20
0 days 00:06:09.091638,85,37
0 days 00:06:09.094416,82,99
0 days 00:06:09.097194,33,138
0 days 00:06:09.099972,-52,140
0 days 00:06:09.102750,-160,112
0 days 00:06:09.105528,-267,55
0 days 00:06:09.108306,-351,-5
0 days 00:06:09.111084,-406,-60
0 days 00:06:09.113862,-433,-89
0 days 00:06:09.116640,-445,-104
0 days 00:06:09.119418,-450,-111
0 days 00:06:09.122196,-453,-111
0 days 00:06:09.124974,-456,-117
0 days 00:06:09.127752,-463,-126
0 days 00:06:09.130530,-466,-131
0 days 00:06:09.133308,-467,-134
0 days 00:06:09.136086,-466,-134
0 days 00:06:09.138864,-465,-128
0 days 00:06:09.141642,-467,-122
0 days 00:06:09.144420,-459,-123
0 days 00:06:09.147198,-449,-124
0 days 00:06:09.149976,-434,-127
0 days 00:06:09.152754,-424,-131
0 days 00:06:09.155532,-398,-131
0 days 00:06:09.158310,-364,-124
0 days 00:06:09.161088,-336,-114
0 days 00:06:09.163866,-307,-101
0 days 00:06:09.166644,-284,-86
0 days 00:06:09.169422,-267,-74
0 days 00:06:09.172200,-252,-69
0 days 00:06:09.174978,-244,-63
0 days 00:06:09.177756,-241,-62
0 days 00:06:09.180534,-232,-61
0 days 00:06:09.183312,-227,-60
0 days 00:06:09.186090,-225,-62
0 days 00:06:09.188868,-222,-57
0 days 00:06:09.191646,-219,-57
0 days 00:06:09.194424,-217,-53
0 days 00:06:09.197202,-216,-54
0 days 00:06:09.199980,-217,-53
0 days 00:06:09.202758,-215,-52
0 days 00:06:09.205536,-216,-59
0 days 00:06:09.208314,-220,-57
0 days 00:06:09.211092,-217,-52
0 days 00:06:09.213870,-216,-55
0 days 00:06:09.216648,-215,-55
0 days 00:06:09.219426,-214,-57
0 days 00:06:09.222204,-215,-55
0 days 00:06:09.224982,-214,-58
0 days 00:06:09.227760,-212,-62
0 days 00:06:09.230538,-216,-70
0 days 00:06:09.233316,-221,-74
0 days 00:06:09.236094,-222,-80
0 days 00:06:09.238872,-223,-82
0 days 00:06:09.241650,-224,-83
0 days 00:06:09.244428,-225,-88
0 days 00:06:09.247206,-230,-90
0 days 00:06:09.249984,-229,-91
0 days 00:06:09.252762,-228,-92
0 days 00:06:09.255540,-232,-101
0 days 00:06:09.258318,-234,-103
0 days 00:06:09.261096,-233,-109
0 days 00:06:09.263874,-234,-114
0 days 00:06:09.266652,-241,-117
0 days 00:06:09.269430,-242,-118
0 days 00:06:09.272208,-250,-118
0 days 00:06:09.274986,-248,-119
0 days 00:06:09.277764,-250,-119
0 days 00:06:09.280542,-249,-119
0 days 00:06:09.283320,-251,-117
0 days 00:06:09.286098,-253,-116
0 days 00:06:09.288876,-257,-120
0 days 00:06:09.291654,-260,-125
0 days 00:06:09.294432,-257,-132
0 days 00:06:09.297210,-263,-140
0 days 00:06:09.299988,-264,-147
0 days 00:06:09.302766,-266,-149
0 days 00:06:09.305544,-265,-152
0 days 00:06:09.308322,-268,-149
0 days 00:06:09.311100,-265,-150
0 days 00:06:09.313878,-264,-148
0 days 00:06:09.316656,-266,-149
0 days 00:06:09.319434,-266,-152
0 days 00:06:09.322212,-265,-151
0 days 00:06:09.324990,-268,-149
0 days 00:06:09.327768,-264,-149
0 days 00:06:09.330546,-264,-151
0 days 00:06:09.333324,-263,-149
0 days 00:06:09.336102,-265,-146
0 days 00:06:09.338880,-263,-146
0 days 00:06:09.341658,-261,-141
0 days 00:06:09.344436,-258,-136
0 days 00:06:09.347214,-252,-135
0 days 00:06:09.349992,-250,-134
0 days 00:06:09.352770,-248,-132
0 days 00:06:09.355548,-243,-131
0 days 00:06:09.358326,-243,-134
0 days 00:06:09.361104,-234,-131
0 days 00:06:09.363882,-232,-134
0 days 00:06:09.366660,-231,-128
0 days 00:06:09.369438,-228,-126
0 days 00:06:09.372216,-231,-121
0 days 00:06:09.374994,-225,-119
0 days 00:06:09.377772,-224,-117
0 days 00:06:09.380550,-218,-110
0 days 00:06:09.383328,-215,-106
0 days 00:06:09.386106,-208,-101
0 days 00:06:09.388884,-204,-103
0 days 00:06:09.391662,-201,-99
0 days 00:06:09.394440,-199,-99
0 days 00:06:09.397218,-199,-102
0 days 00:06:09.399996,-198,-101
0 days 00:06:09.402774,-198,-96
0 days 00:06:09.405552,-198,-95
0 days 00:06:09.408330,-200,-90
0 days 00:06:09.411108,-195,-88
0 days 00:06:09.413886,-192,-80
0 days 00:06:09.416664,-190,-78
0 days 00:06:09.419442,-188,-73
0 days 00:06:09.422220,-184,-69
0 days 00:06:09.424998,-183,-70
0 days 00:06:09.427776,-183,-72
0 days 00:06:09.430554,-183,-75
0 days 00:06:09.433332,-184,-76
0 days 00:06:09.436110,-187,-79
0 days 00:06:09.438888,-189,-79
0 days 00:06:09.441666,-186,-75
0 days 00:06:09.444444,-187,-73
0 days 00:06:09.447222,-185,-65
0 days 00:06:09.450000,-185,-63
0 days 00:06:09.452778,-183,-58
0 days 00:06:09.455556,-180,-60
0 days 00:06:09.458334,-182,-65
0 days 00:06:09.461112,-182,-71
0 days 00:06:09.463890,-186,-73
0 days 00:06:09.466668,-190,-74
0 days 00:06:09.469446,-190,-74
0 days 00:06:09.472224,-190,-72
0 days 00:06:09.475002,-190,-67
0 days 00:06:09.477780,-189,-62
0 days 00:06:09.480558,-188,-60
0 days 00:06:09.483336,-184,-62
0 days 00:06:09.486114,-183,-66
0 days 00:06:09.488892,-183,-66
0 days 00:06:09.491670,-186,-72
0 days 00:06:09.494448,-187,-68
0 days 00:06:09.497226,-187,-72
0 days 00:06:09.500004,-186,-68
0 days 00:06:09.502782,-187,-67
0 days 00:06:09.505560,-193,-68
0 days 00:06:09.508338,-194,-70
0 days 00:06:09.511116,-194,-71
0 days 00:06:09.513894,-194,-72
0 days 00:06:09.516672,-191,-69
0 days 00:06:09.519450,-189,-65
0 days 00:06:09.522228,-189,-62
0 days 00:06:09.525006,-190,-63
0 days 00:06:09.527784,-190,-65
0 days 00:06:09.530562,-194,-69
0 days 00:06:09.533340,-193,-75
0 days 00:06:09.536118,-196,-76
0 days 00:06:09.538896,-193,-75
0 days 00:06:09.541674,-194,-74
0 days 00:06:09.544452,-193,-72
0 days 00:06:09.547230,-192,-75
0 days 00:06:09.550008,-192,-74
0 days 00:06:09.552786,-189,-74
0 days 00:06:09.555564,-188,-76
0 days 00:06:09.558342,-186,-76
0 days 00:06:09.561120,-187,-77
0 days 00:06:09.563898,-188,-73
0 days 00:06:09.566676,-188,-73
0 days 00:06:09.569454,-191,-72
0 days 00:06:09.572232,-192,-76
0 days 00:06:09.575010,-193,-75
0 days 00:06:09.577788,-193,-75
0 days 00:06:09.580566,-188,-77
0 days 00:06:09.583344,-186,-75
0 days 00:06:09.586122,-187,-78
0 days 00:06:09.588900,-182,-75
0 days 00:06:09.591678,-182,-74
0 days 00:06:09.594456,-184,-73
0 days 00:06:09.597234,-185,-72
0 days 00:06:09.600012,-185,-75
0 days 00:06:09.602790,-190,-76
0 days 00:06:09.605568,-190,-78
0 days 00:06:09.608346,-187,-78
0 days 00:06:09.611124,-185,-77
0 days 00:06:09.613902,-182,-71
0 days 00:06:09.616680,-183,-70
0 days 00:06:09.619458,-180,-67
0 days 00:06:09.622236,-178,-64
0 days 00:06:09.625014,-181,-71
0 days 00:06:09.627792,-180,-79
0 days 00:06:09.630570,-184,-78
0 days 00:06:09.633348,-184,-84
0 days 00:06:09.636126,-187,-84
0 days 00:06:09.638904,-189,-85
0 days 00:06:09.641682,-188,-83
0 days 00:06:09.644460,-187,-77
0 days 00:06:09.647238,-185,-70
0 days 00:06:09.650016,-185,-67
0 days 00:06:09.652794,-183,-64
0 days 00:06:09.655572,-179,-65
0 days 00:06:09.658350,-179,-69
0 days 00:06:09.661128,-182,-72
0 days 00:06:09.663906,-186,-77
0 days 00:06:09.666684,-185,-78
0 days 00:06:09.669462,-187,-80
0 days 00:06:09.672240,-182,-82
0 days 00:06:09.675018,-183,-76
0 days 00:06:09.677796,-182,-66
0 days 00:06:09.680574,-178,-64
0 days 00:06:09.683352,-175,-66
0 days 00:06:09.686130,-167,-70
0 days 00:06:09.688908,-164,-75
0 days 00:06:09.691686,-162,-82
0 days 00:06:09.694464,-162,-86
0 days 00:06:09.697242,-160,-92
0 days 00:06:09.700020,-161,-94
0 days 00:06:09.702798,-160,-100
0 days 00:06:09.705576,-163,-98
0 days 00:06:09.708354,-158,-92
0 days 00:06:09.711132,-158,-85
0 days 00:06:09.713910,-149,-81
0 days 00:06:09.716688,-142,-75
0 days 00:06:09.719466,-135,-69
0 days 00:06:09.722244,-128,-69
0 days 00:06:09.725022,-133,-70
0 days 00:06:09.727800,-139,-69
0 days 00:06:09.730578,-140,-74
0 days 00:06:09.733356,-146,-80
0 days 00:06:09.736134,-154,-82
0 days 00:06:09.738912,-156,-87
0 days 00:06:09.741690,-159,-83
0 days 00:06:09.744468,-157,-75
0 days 00:06:09.747246,-156,-69
0 days 00:06:09.750024,-149,-57
0 days 00:06:09.752802,-143,-48
0 days 00:06:09.755580,-133,-42
0 days 00:06:09.758358,-134,-42
0 days 00:06:09.761136,-136,-43
0 days 00:06:09.763914,-143,-51
0 days 00:06:09.766692,-151,-60
0 days 00:06:09.769470,-162,-69
0 days 00:06:09.772248,-169,-79
0 days 00:06:09.775026,-172,-80
0 days 00:06:09.777804,-175,-78
0 days 00:06:09.780582,-176,-79
0 days 00:06:09.783360,-177,-72
0 days 00:06:09.786138,-177,-69
0 days 00:06:09.788916,-181,-69
0 days 00:06:09.791694,-184,-71
0 days 00:06:09.794472,-186,-72
0 days 00:06:09.797250,-187,-82
0 days 00:06:09.800028,-189,-83
0 days 00:06:09.802806,-191,-92
0 days 00:06:09.805584,-193,-89
0 days 00:06:09.808362,-194,-88
0 days 00:06:09.811140,-194,-80
0 days 00:06:09.813918,-196,-75
0 days 00:06:09.816696,-193,-72
0 days 00:06:09.819474,-189,-70
0 days 00:06:09.822252,-191,-71
0 days 00:06:09.825030,-191,-75
0 days 00:06:09.827808,-191,-79
0 days 00:06:09.830586,-191,-81
